order_date,actual_revenue,predicted_revenue,pred_lower_95,pred_upper_95,residual,abs_error,pct_error,month_period
2018-06-16,29000.08,29823.034733637985,14904.796238727873,44741.273228548096,-822.9547336379837,822.9547336379837,2.8377671152561774,2018-06
2018-06-17,20751.52,28883.709444172957,13965.470949262844,43801.94793908307,-8132.189444172956,8132.189444172956,39.18840376113632,2018-06
2018-06-18,41023.4,34594.74351327673,19676.505018366617,49512.98200818684,6428.656486723274,6428.656486723274,15.670706198714084,2018-06
2018-06-19,40013.6,37694.45807156111,22776.219576650998,52612.69656647122,2319.1419284388903,2319.1419284388903,5.795884220462269,2018-06
2018-06-20,34330.27,32917.79990785697,17999.56141294686,47836.03840276708,1412.4700921430267,1412.4700921430267,4.114357656211346,2018-06
2018-06-21,33301.99,31338.524363053584,16420.285868143474,46256.762857963695,1963.4656369464137,1963.4656369464137,5.895940864033693,2018-06
2018-06-22,28753.16,31364.495585924138,16446.257091014028,46282.73408083425,-2611.3355859241383,2611.3355859241383,9.081908165656012,2018-06
2018-06-23,21181.11,25731.937945184374,10813.699450274262,40650.17644009449,-4550.827945184374,4550.827945184374,21.485313778099325,2018-06
2018-06-24,29498.58,25157.418838086523,10239.180343176411,40075.657332996634,4341.161161913478,4341.161161913478,14.716508936747049,2018-06
2018-06-25,41879.92,36979.794684622415,22061.556189712304,51898.033179532526,4900.125315377583,4900.125315377583,11.700417086225531,2018-06
2018-06-26,37616.54,34782.64804777183,19864.409552861718,49700.88654268194,2833.891952228172,2833.891952228172,7.5336326845269985,2018-06
2018-06-27,32505.93,42659.96151866077,27741.72302375066,57578.20001357088,-10154.03151866077,10154.03151866077,31.23747426595938,2018-06
2018-06-28,38739.05,32792.488818128244,17874.250323218133,47710.727313038355,5946.561181871759,5946.561181871759,15.350302038567696,2018-06
2018-06-29,25098.69,32392.42692547185,17474.188430561735,47310.66542038196,-7293.736925471851,7293.736925471851,29.06022953975626,2018-06
2018-06-30,18621.7,24440.19201432438,9521.953519414268,39358.430509234495,-5818.49201432438,5818.49201432438,31.245761742077143,2018-06
2018-07-01,29060.7,21051.859738610125,6133.621243700012,35970.098233520235,8008.840261389876,8008.840261389876,27.55900670455246,2018-07
2018-07-02,29422.43,29014.622760200633,14096.38426529052,43932.86125511074,407.8072397993674,407.8072397993674,1.3860420087646308,2018-07
2018-07-03,31454.6,31874.342278768792,16956.103783858678,46792.58077367891,-419.74227876879377,419.74227876879377,1.3344384565971075,2018-07
2018-07-04,41579.8,32026.10935822628,17107.870863316166,46944.347853136394,9553.690641773723,9553.690641773723,22.976759488438432,2018-07
2018-07-05,33949.48,30497.724004783446,15579.485509873333,45415.96249969356,3451.7559952165575,3451.7559952165575,10.167330973012126,2018-07
2018-07-06,22108.67,34351.023302997964,19432.784808087854,49269.261797908075,-12242.353302997966,12242.353302997966,55.373540348641356,2018-07
2018-07-07,11277.24,22981.372839767788,8063.134344857675,37899.6113346779,-11704.132839767788,11704.132839767788,103.78543721484857,2018-07
2018-07-08,17554.74,21525.562942029042,6607.32444711893,36443.80143693915,-3970.822942029041,3970.822942029041,22.61966250727177,2018-07
2018-07-09,23122.17,25231.92676716956,10313.688272259447,40150.165262079674,-2109.7567671695615,2109.7567671695615,9.124389134625174,2018-07
2018-07-10,22246.77,30535.385802595858,15617.147307685746,45453.62429750597,-8288.615802595858,8288.615802595858,37.25761448783737,2018-07
2018-07-11,22140.62,25776.647551201877,10858.409056291765,40694.88604611199,-3636.027551201878,3636.027551201878,16.422428781135658,2018-07
2018-07-12,32569.71,22637.66051752818,7719.422022618068,37555.89901243829,9932.049482471819,9932.049482471819,30.494743374969623,2018-07
