Fold,Train Rows,Val Rows,MAE,RMSE
1,95,93,5700.746618970636,7193.461827535491
2,188,93,3980.821131860935,5141.161043692867
3,281,93,8817.691427485901,19973.547379801043
4,374,93,6154.663725442748,7590.370523189189
5,467,93,7008.114680636691,8960.428980874896
