month_period,MAE,RMSE,Days
2018-06,4635.269461534603,5312.265218800625,15
2018-07,6674.006975084706,8021.818519690455,31
2018-08,7736.851461809504,9324.227180119498,31
2018-09,2121.8899461438964,2167.3779570346146,3
