label,val_rmse,test_mae,test_rmse,test_r2,test_mape
Best single,8159.002401752686,5557.541973613288,7062.974433568816,0.5859002707234008,19.207765984815563
Top-2 (inverse-val-RMSE),8138.667758445102,5681.333447641998,7252.035826385658,0.5634343514077667,19.461251967880315
Top-3 (inverse-val-RMSE) [DEPLOYED],8156.922933115817,5736.428336071354,7202.906756842102,0.5693293619787503,19.44327852452113
Top-4 (inverse-val-RMSE),8487.313019106161,5825.549502484163,7302.337321812034,0.5573571437006626,19.304107396098622
Top-3 (equal weights),8157.3002176599175,5737.336676985025,7203.057429989869,0.5693113439253245,19.44392389510209
All 4 (inverse-val-RMSE),8487.313019106161,5825.549502484163,7302.337321812034,0.5573571437006626,19.304107396098622
Top-2 (equal weights),8138.711740769409,5681.898758000896,7252.682351430456,0.5633565075543412,19.462504017523237
