order_date,forecast_revenue,forecast_lower,forecast_upper
2018-08-25,17750.69323061022,2369.3148125886014,42236.993181201295
2018-08-26,16257.304002856403,2369.3148125886014,35212.327098195085
2018-08-27,17180.191441867675,2369.3148125886014,37249.232369035235
2018-08-28,19756.606049077785,2369.3148125886014,40778.94919550388
2018-08-29,19419.79089123422,2369.3148125886014,40904.524856680255
2018-08-30,19274.249616340465,2369.3148125886014,37303.96577739599
2018-08-31,17897.313197959364,2369.3148125886014,37227.091728405445
2018-09-01,15379.828159314822,2369.3148125886014,37227.091728405445
2018-09-02,15415.02485179704,2369.3148125886014,36910.42279482517
2018-09-03,15224.9288748389,2369.3148125886014,36910.42279482517
2018-09-04,16802.125706822575,2369.3148125886014,36910.42279482517
2018-09-05,16762.440012639883,2369.3148125886014,36583.843556259526
2018-09-06,16110.574003811598,2369.3148125886014,35377.46888950254
2018-09-07,16013.11656547414,2369.3148125886014,35221.38258899633
2018-09-08,15038.299500037645,2369.3148125886014,35221.38258899633
2018-09-09,14977.557618461637,2369.3148125886014,35061.30527019806
2018-09-10,14886.721113674455,2369.3148125886014,35061.30527019806
2018-09-11,16101.502893672043,2369.3148125886014,35221.38258899633
2018-09-12,16040.400233426977,2369.3148125886014,35221.38258899633
2018-09-13,15737.290137579168,2369.3148125886014,35221.38258899633
2018-09-14,15554.088090323197,2369.3148125886014,35221.38258899633
2018-09-15,15338.549944516675,2369.3148125886014,35221.38258899633
2018-09-16,15261.068704322604,2369.3148125886014,35061.30527019806
2018-09-17,15248.556109896908,2369.3148125886014,35061.30527019806
2018-09-18,16466.589025621906,2369.3148125886014,35221.38258899633
2018-09-19,16239.595792516142,2369.3148125886014,35221.38258899633
2018-09-20,15760.508968573873,2369.3148125886014,35061.30527019806
2018-09-21,15819.495531782199,2369.3148125886014,34666.5166993665
2018-09-22,15385.039421240108,2369.3148125886014,34818.67610823462
2018-09-23,15125.071395184134,2369.3148125886014,34818.67610823462
