month_period,MAE,RMSE,Days
2018-06,4467.324630128588,5375.334265031731,15
2018-07,5683.594343053876,6850.571824565515,31
2018-08,6637.552460072685,8332.94341242345,31
2018-09,1393.006006644656,1403.124638100556,3
