order_date,actual_revenue,predicted_revenue,pred_lower_95,pred_upper_95,residual,abs_error,pct_error,month_period
2018-06-16,29000.08,29512.31120951293,14008.5675981489,45016.05482087696,-512.2312095129273,512.2312095129273,1.7663096429834928,2018-06
2018-06-17,20751.52,28235.883785844253,12732.140174480224,43739.627397208285,-7484.363785844253,7484.363785844253,36.06658107861136,2018-06
2018-06-18,41023.4,31771.262678597326,16267.519067233297,47275.006289961355,9252.137321402675,9252.137321402675,22.55331669584353,2018-06
2018-06-19,40013.6,37532.43345134106,22028.68983997703,53036.17706270509,2481.166548658941,2481.166548658941,6.200808096894408,2018-06
2018-06-20,34330.27,34707.15568676027,19203.41207539624,50210.8992981243,-376.88568676027353,376.88568676027353,1.0978232526579998,2018-06
2018-06-21,33301.99,31049.69543083104,15545.951819467013,46553.43904219507,2252.2945691689565,2252.2945691689565,6.763243185073795,2018-06
2018-06-22,28753.16,30385.792443911425,14882.048832547396,45889.53605527546,-1632.632443911425,1632.632443911425,5.678097447068166,2018-06
2018-06-23,21181.11,26636.539667588724,11132.796056224695,42140.28327895275,-5455.4296675887235,5455.4296675887235,25.75610847395969,2018-06
2018-06-24,29498.58,25774.298719209484,10270.555107845455,41278.04233057352,3724.2812807905175,3724.2812807905175,12.625290033589812,2018-06
2018-06-25,41879.92,35449.00961028247,19945.26599891844,50952.7532216465,6430.91038971753,6430.91038971753,15.35559377791918,2018-06
2018-06-26,37616.54,35818.342935994384,20314.599324630355,51322.08654735841,1798.197064005617,1798.197064005617,4.780336160650653,2018-06
2018-06-27,32505.93,35804.51779765688,20300.774186292852,51308.26140902091,-3298.587797656881,3298.587797656881,10.147649360153304,2018-06
2018-06-28,38739.05,34110.86909185637,18607.125480492345,49614.6127032204,4628.1809081436295,4628.1809081436295,11.947068676551513,2018-06
2018-06-29,25098.69,33375.57290325403,17871.829291890004,48879.31651461806,-8276.882903254034,8276.882903254034,32.977350225266875,2018-06
2018-06-30,18621.7,28027.387875512446,12523.644264148417,43531.131486876475,-9405.687875512445,9405.687875512445,50.50928688311188,2018-06
2018-07-01,29060.7,24031.137008123253,8527.393396759224,39534.88061948728,5029.562991876748,5029.562991876748,17.307095121166206,2018-07
2018-07-02,29422.43,32444.11385085354,16940.37023948951,47947.857462217566,-3021.68385085354,3021.68385085354,10.270000985144803,2018-07
2018-07-03,31454.6,34981.6841739187,19477.94056255467,50485.42778528273,-3527.0841739187017,3527.0841739187017,11.213253940341641,2018-07
2018-07-04,41579.8,32129.543555376873,16625.799944012844,47633.287166740905,9450.25644462313,9450.25644462313,22.727998798991646,2018-07
2018-07-05,33949.48,35820.49676208607,20316.75315072204,51324.2403734501,-1871.0167620860666,1871.0167620860666,5.511179440998997,2018-07
2018-07-06,22108.67,30372.721709175927,14868.978097811898,45876.46532053995,-8264.051709175928,8264.051709175928,37.37923497512934,2018-07
