Model / Split,MAE,RMSE,MAPE (%),R2
Naive Baseline (Test),6016.486749999999,7563.184694698227,24.33387154747488,0.742846285557845
7-Day MA Baseline (Test),7403.592817796362,8972.255773225388,40.30825525490811,0.6381015851989067
Tuned LightGBM (Validation),6439.596928747801,8356.060224909263,17.387382922279507,0.4300231949637212
Tuned LightGBM (Test),5664.305479609828,7112.257237110231,41.59866773431979,0.7725958943331248
