Seed,Inertia,ARI_vs_Base
42,85430.16263120652,0.9957797366479065
100,85430.16263120653,0.9957797366479065
2024,85430.27212933177,0.9970545408890517
777,85430.18750351453,0.9948697860608989
999,85430.307812723,0.9968723733055022
